Channel Name,Language,Category,"Orbital
Position",Satellite,"Trans.
Num.","Transponder
Frequency","Transponder
Polarization","Symbol
Rate",FEC,
Me Chef TV,Persian,Cooking,13.0° East,Eutelsat Hot Bird 13B,-,11747 MHz,Horizental,27500,3/4,
National Geographic Farsi,Persian,Documentaries,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,27500,5/6,
NASA TV UHD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,10727 MHz,Horizental,30000,3/4,
NASA TV HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11373 MHz,Horizental,27500,3/4,
Animal Planet Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
National Geographic Wild Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10719 MHz,Vertical,27500,3/4,
National Geographic Wild Polska,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,12188 MHz,Vertical,27500,3/4,
National Geographic People HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13B,-,12284 MHz,Horizental,27500,3/4,
National Geographic Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11278 MHz,Vertical,27500,3/4,
National Geographic Polska,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10796 MHz,Vertical,27500,3/4,
Discovery Channel Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,11449 MHz,Vertical,27500,3/4,
BBC Earth Polska HD,English,Documentaries,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
IRIB TV4 HD,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Mostanad TV9 HD,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Mostanad TV9,Persian,Documentaries,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
GEM NATURE,Persian,Documentaries,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM NATURE,Persian,Documentaries,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
IRIB TV4,Persian,Documentaries,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Mostanad TV9,Persian,Documentaries,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,2/3,
National Geographic Farsi,Persian,Documentaries,7.0° East,Eutelsat 7A,-,11345 MHz,Horizental,27500,5/6,
National Geographic Farsi HD,Persian,Documentaries,7.0° East,Eutelsat 7B,-,11304 MHz,Horizental,29700,2/3,
Animal Planet Middle East HD,English,Documentaries,7.0° West,Nilesat 201,-,12073 MHz,Horizental,30000,3/4,
RTG TV HD,English,Documentaries,9.0° East,Eutelsat 9B,-,12034 MHz,Vertical,27500,-,
IRIB Amouzesh TV7 HD,Persian,Education,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Amouzesh TV7,Persian,Education,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
BBC One,English,Entertainment,10.0° East,Eutelsat 10A,-,11221 MHz,Vertical,30000,5/6,
Manoto,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13C,131,11137 MHz,Horizental,27500,-,
Iran Beauty,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11054 MHz,Horizental,27500,5/6,
PDF,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11317 MHz,Vertical,27490,3/4,
Kahkeshan TV,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11471 MHz,Vertical,27500,5/6,
Khatereh TV,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11179 MHz,Vertical,27500,-,
MI-TV,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11054 MHz,Horizental,27500,5/6,
Iran Television Network (ITN),Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,11642 MHz,Horizental,27500,3/4,
Jame-Jam TV,Persian,Entertainment,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,29900,3/5,
BBC Brit Polska HD,English,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,12476 MHz,Horizental,29900,3/4,
BBC Lifestyle Polska HD,English,Entertainment,13.0° East,Eutelsat Hot Bird 13B,-,12476 MHz,Horizental,29900,3/4,
IRIB TV2 HD,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11881 Mhz,Horizental,27500,5/6,
IRIB TV2,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
IRIB TV5 HD,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB TV5,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
IRIB Shoma TV HD,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Nasim HD,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Nasim,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,10775 MHz,Horizental,29900,3/5,
IRIB Ofogh TV HD,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Ofogh TV,Persian,Entertainment,26.0° East,Arabsat BADR-5,-,12322 MHz,Vertical,30000,3/4,
Arezo TV,Persian,Entertainment,52.5° East,Yahsat 1A,-,12015 MHz,Horizental,27500,-,
Homa TV,Persian,Entertainment,52.5° East,Yahsat 1A,-,11958 MHz,Vertical,27500,7/8,
Khatereh TV,Persian,Entertainment,52.5° East,Yahsat 1A,-,11958 MHz,Vertical,27500,-,
Iran Television Network (ITN),Persian,Entertainment,52.5° East,Yahsat 1A,-,11766 MHz,Horizental,27500,-,
IRIB TV2,Persian,Entertainment,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB TV5,Persian,Entertainment,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Shoma TV,Persian,Entertainment,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Nasim,Persian,Entertainment,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Ofogh TV,Persian,Entertainment,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
Manoto HD,Persian,Entertainment,7.0° East,Eutelsat 7B,C5,11304 MHz,Horizental,29700,-,
Manoto,Persian,Entertainment,7.0° East,Eutelsat 7B,A1,10721 MHz,Horizental,22000,-,
Manoto +1 HD,Persian,Entertainment,7.0° East,Eutelsat 7B,-,11387 MHz,Horizental,27500,5/6,
Manoto +2 HD,Persian,Entertainment,7.0° East,Eutelsat 7A,-,11324 MHz,Vertical,29700,2/3,
Manoto +2 HD,Persian,Entertainment,7.0° East,Eutelsat 7B,-,11324 MHz,Vertical,29700,2/3,
Kiksat Farhad,Persian,Fun,13.0° East,Eutelsat Hot Bird 13B,-,11200 MHz,Vertical,27500,5/6,
Comedy Central Extra Polsat HD,English,Fun,13.0° East,Eutelsat Hot Bird 13B,-,12015 MHz,Horizental,27500,3/4,
Comedy Central Extra Polsat,English,Fun,13.0° East,Eutelsat 33E,-,12722 MHz,Horizental,16730,3/4,
Sky Cinema Fun,English,Fun,19.2° East,Astra 1M,-,11720 MHz,Horizental,27500,9/10,
Zoom TV,English,Fun,4.8° East,Astra 4A,-,12437 MHz,Vertical,30000,2/3,
Akıllı  TV,English,Fun,42.0° East,Türksat 4A,-,12034 MHz,Vertical,27500,5/6,
GEM COMEDY,Persian,Fun,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM COMEDY,Persian,Fun,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
Boomerang Polska HD,English,Kids,13.0° East,Eutelsat Hot Bird 13C,-,10758 MHz,Vertical,27500,3/4,
BBC Cbeebies Polska HD,English,Kids,13.0° East,Eutelsat Hot Bird 13B,-,12476 MHz,Horizental,29900,3/4,
IRIB Pooya TV HD,Persian,Kids,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
MBC 3,Arabic,Kids,26.0° East,Arabsat BADR-4,-,11919 MHz,Horizental,-,-,
Cartoon Network,English,Kids,28.2° East,Astra 2G,-,11171 MHz,Horizental,22000,5/6,
Cartoon Network,English,Kids,28.2° East,Astra 2F,-,12168 MHz,Vertical,27500,2/3,
KidZone TV,English,Kids,4.8° East,Astra 4A,-,11785 MHz,Vertical,27500,5/6,
GEM JUNIOR,Persian,Kids,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
GEM KIDS,Persian,Kids,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM KIDS,Persian,Kids,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
Persian Top Toon,Persian,Kids,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,-,
IRIB Pooya TV,Persian,Kids,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
MBC 3,Arabic,Kids,7.0° West,Nilesat 102,-,11938 MHz,Vertical,-,-,
AAA Family,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11642 MHz,Horizental,27500,3/4,
Movie 1,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11200 MHz,Vertical,27500,5/6,
Iran ASTV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11642 MHz,Horizental,27500,3/4,
Persian Star TV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11604 MHz,Horizental,27500,5/6,
IRAN-FMTV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11604 MHz,Horizental,27500,5/6,
IRAN-MNTV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11604 MHz,Horizental,27500,5/6,
Persian Film,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11604 MHz,Horizental,27500,5/6,
AVA MUSIC,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11727 MHz,Vertical,27500,3/4,
Iran M One TV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,11642 MHz,Horizental,27500,3/4,
Iranian TV,Persian,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12245 MHz,Horizental,27500,3/4,
iFilm,Persian,Movies,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,29900,3/5,
HBO Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12284 MHz,Horizental,27500,3/4,
HBO 2 Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
HBO 3 Central Europe HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
BBC First Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,10834 MHz,Vertical,27500,3/4,
Cinemax Central Europe HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,10719 MHz,Vertical,27500,3/4,
Cinemax 2 Central Europe HD,English,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12265 MHz,Vertical,27500,3/4,
AMC Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,11449 MHz,Horizental,27500,3/4,
TNT Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12284 MHz,Horizental,27500,3/4,
FOX Comedy Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12265 MHz,Vertical,27500,3/4,
FOX Comedy Polska,English,Movies,13.0° East,Eutelsat Hot Bird 13B,-,12188 MHz,Vertical,27500,3/4,
CBS Reality Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,10796 MHz,Vertical,27500,3/4,
Canal + Family Polska HD,English,Movies,13.0° East,Eutelsat Hot Bird 13C,-,11411 MHz,Horizental,27500,3/4,
Cine 34,English,Movies,13.0° East,Eutelsat Hot Bird 13E,-,11432 MHz,Vertical,29900,3/4,
Fox Movies HD,English,Movies,16.0° East,Eutelsat 16A,-,11011 MHz,Vertical,27500,-,
Fox Movies HD,English,Movies,16.0° East,Eutelsat 16A,B2,11010 MHz,Vertical,27500,3/5,
Sky Cinema Special HD,English,Movies,19.2° East,Astra 1M,-,11992 MHz,Horizental,27500,9/10,
Sky Cinema Action,English,Movies,19.2° East,Astra 1M,-,11720 MHz,Horizental,27500,9/10,
Sky Cinema Best Of,English,Movies,19.2° East,Astra 1M,-,11758 MHz,Horizental,27500,9/10,
CS Horror,English,Movies,23.5° East,Astra 3B,-,11934 MHz,Vertical,27500,-,
MBC Persia,Persian,Movies,26.0° East,Arabsat BADR-4,-,11919 MHz,Horizental,-,-,
MBC Persia,Persian,Movies,26.0° East,Arabsat BADR-4,-,11938 MHz,Vertical,27500,3/4,
IRIB Namayesh TV HD,Persian,Movies,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Tamasha HD,Persian,Movies,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Tamasha HD,Persian,Movies,26.0° East,Arabsat BADR-5,-,12265 MHz,Horizental,30000,3/4,
iFilm,Persian,Movies,26.0° East,Arabsat BADR-5,-,12322 MHz,Vertical,30000,3/4,
Dubai One,English,Movies,26.0° East,Arabsat BADR-4,22,12130 MHz,Vertical,27500,3/4,
MBC 2,English,Movies,26.0° East,Arabsat BADR-4,-,11919 MHz,Horizental,-,-,
MBC Action,English,Movies,26.0° East,Arabsat BADR-4,-,11919 MHz,Horizental,-,-,
MBC Max,English,Movies,26.0° East,Arabsat BADR-4,-,11919 MHz,Horizental,-,-,
Hollywood HD,English,Movies,36.0° East,Eutelsat 36B,-,11938 MHz,Vertical,27500,-,
Sony Channel,English,Movies,4.8° East,Astra 4A,-,11785 MHz,Vertical,27500,-,
Sony Channel,English,Movies,4.8° East,Astra 4A,-,11938 MHz,Vertical,27500,-,
GEM SERIES+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM SERIES+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
GEM TV+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM TV+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
GEM RUBIX+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM RUBIX+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
GEM RIVER+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM RIVER+ HD,Persian,Movies,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
ICC TV,Persian,Movies,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,-,
ICC TV,Persian,Movies,52.5° East,Yahsat 1A,-,11958 MHz,Vertical,27500,-,
Persian Movies,Persian,Movies,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,-,
Persian Series,Persian,Movies,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,-,
Dubai One HD,English,Movies,52.5° East,Yahsat 1A,6,11823 MHz,Horizental,27500,3/4,
IRIB Namayesh TV,Persian,Movies,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Tamasha,Persian,Movies,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
iFilm,Persian,Movies,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
Farsi 1,Persian,Movies,7.0° East,Eutelsat W3A,-,11221 MHz,Horizental,27500,3/4,
ZAMZAMEH,Persian,Movies,7.0° East,Eutelsat W3A,-,11221 MHz,Horizental,27500,3/4,
ICC TV,Persian,Movies,7.0° East,Eutelsat 7B,-,11345 MHz,-,27500,-,
iFilm,Persian,Movies,7.0° East,Eutelsat 7B,-,11324 MHz,Vertical,29700,2/3,
MBC Persia,Persian,Movies,7.0° West,Nilesat 104,-,12379 MHz,Vertical,27500,3/4,
Dubai One,English,Movies,7.0° West,Nilesat 101,4,11785 MHz,Vertical,27500,3/4,
MBC 2,English,Movies,7.0° West,Nilesat 102,-,11938 MHz,Vertical,-,-,
MBC Action,English,Movies,7.0° West,Nilesat 102,-,11938 MHz,Vertical,-,-,
MBC Max,English,Movies,7.0° West,Nilesat 102,-,11938 MHz,Vertical,-,-,
MBC Persia,Persian,Movies,7.2° West,Bird 4,-,12341 MHz,Vertical,-,-,
AFN TV,English,Movies,9.0° East,Eutelsat 9B,-,11804 MHz,Vertical,27500,2/3,
GEM MUSIC,Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,10723 MHz,Horizental,29900,3/4,
Persian Music Channel (PMC),Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,12322 MHz,Horizental,27500,3/4,
Persian Music Channel (PMC),Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,11054 MHz,Horizental,27500,5/6,
Cine Music,Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,10775 MHz,Horizental,27500,-,
Iran Music,Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,11054 MHz,Horizental,27500,5/6,
TV 20,Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,11179 MHz,Horizental,27500,3/4,
Radio Javan TV,Persian,Music,13.0° East,Eutelsat Hot Bird 13B,-,11296 MHz,Horizental,27500,5/6,
MTV HD,English,Music,13.0° East,Eutelsat Hot Bird 13E,-,12015 MHz,Horizental,27500,-,
MTV Live HD,English,Music,13.0° East,Eutelsat Hot Bird 13E,-,12015 MHz,Horizental,27500,-,
MTV Music 24 HD,English,Music,13.0° East,Eutelsat Hot Bird 13E,-,12015 MHz,Horizental,27500,-,
4Fun TV,English,Music,13.0° East,Eutelsat Hot Bird 13C,-,10758 MHz,Vertical,27500,3/4,
4Fun Dance,English,Music,13.0° East,Eutelsat Hot Bird 13C,-,10758 MHz,Vertical,27500,3/4,
4Fun Gold,English,Music,13.0° East,Eutelsat Hot Bird 13C,-,10758 MHz,Vertical,27500,3/4,
MTV,English,Music,166.0° East,Intelsat 19,-,12646 MHz,Horizental,28066,3/4,
MTV,English,Music,26.0° East,Arabsat BADR-4,-,11938 MHz,Vertical,27500,-,
MTV Classic,English,Music,28.0° East,Astra,-,11627 MHz,Vertical,22000,-,
GEM MIFA MUSIC HD,Persian,Music,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM MIFA MUSIC HD,Persian,Music,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
Persian Music Channel (PMC) HD,Persian,Music,52.5° East,Yahsat 1A,-,11900 MHz,Horizental,27500,7/8,
Persian Music Channel (PMC),Persian,Music,52.5° East,Yahsat 1A,-,11900 MHz,Horizental,27500,5/6,
AAA Music,Persian,Music,52.5° East,Yahsat 1A,-,12072 MHz,Vertical,27500,5/6,
MIFA Music,Persian,Music,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,-,
Radio Javan TV,Persian,Music,52.5° East,Yahsat 1A,-,12594 MHz,Vertical,27500,2/3,
Persian Music Channel (PMC),Persian,Music,7.0° East,Eutelsat 7B,-,11345 MHz,Horizental,27500,5/6,
Persian Music Channel (PMC) HD,Persian,Music,7.0° East,Eutelsat 7A,-,11324 MHz,Vertical,29700,2/3,
Cine Music,Persian,Music,7.0° East,Eutelsat 7B,-,11304 MHz,Horizental,29700,-,
Radio Javan TV,Persian,Music,7.0° East,Eutelsat 7B,-,11304 MHz,Horizental,29700,2/3,
BBC Persian,Persian,News,13.0° East,Eutelsat Hot Bird 13B,81,12322 MHz,Horizental,27500,3/4,
VoA Persian,Persian,News,13.0° East,Eutelsat Hot Bird 13B,225,12226 MHz,Vertical,27500,3/4,
VoA Persian HD,Persian,News,13.0° East,Eutelsat Hot Bird 13B,235,12226 MHz,Vertical,27500,3/4,
Euronews,Persian,News,13.0° East,Eutelsat Hot Bird 13B,-,12597 MHz,Vertical,27500,3/4,
Iran International HD,Persian,News,13.0° East,Eutelsat Hot Bird 13C,9,11373 MHz,Horizental,27500,3/4,
Radio Farda,Persian,News,13.0° East,Eutelsat Hot Bird 13B,-,12226 MHz,Vertical,27500,3/4,
IRINN TV6,Persian,News,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,29900,3/5,
