Channel Name,Language,Category,"Orbital
Euronews,English,News,13.0° East,Eutelsat Hot Bird 13D,94,12596 MHz,Vertical,27500,3/4,
Euronews HD,English,News,13.0° East,Eutelsat Hot Bird 13B,153,11566 MHz,Horizental,29900,3/4,
BBC World News,English,News,13.0° East,Eutelsat Hot Bird 13E,-,12597 MHz,Vertical,27500,3/4,
BBC English (Europe),English,News,13.0° East,Eutelsat Hot Bird 13D,94,12597 MHz,Vertical,27500,3/4,
BBC English Middle East,English,News,13.0° East,Eutelsat Hot Bird 13D,94,12597 MHz,Vertical,27500,3/4,
CNBC Pan European Hotbird,English,News,13.0° East,Eutelsat Hot Bird 13B,-,10949 MHz,Vertical,27500,3/4,
CNBC HD,English,News,13.0° East,Eutelsat Hot Bird 13B,-,12360 MHz,Horizental,29900,3/4,
Bloomberg European TV,English,News,13.0° East,Eutelsat Hot Bird 13E,-,11137 MHz,Horizental,27500,3/4,
VoA Europe HD,English,News,13.0° East,Eutelsat Hot Bird 13B,-,12226 MHz,Vertical,27500,3/4,
Press TV,English,News,13.0° East,Eutelsat Hot Bird 13E,-,10775 MHz,Horizental,29900,3/5,
Iran International HD,Persian,News,26.0° East,Arabsat BADR-7,-,11270 MHz,Horizental,27500,-,
Iran International HD,Persian,News,26.0° East,Arabsat BADR-6,4,11785 MHz,Vertical,27500,3/4,
IRIB TV1 HD,Persian,News,26.0° East,Arabsat BADR-5,-,11881 Mhz,Horizental,27500,5/6,
IRIB TV1,Persian,News,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
IRINN TV6 HD,Persian,News,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRINN TV6,Persian,News,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
BBC World News HD,English,News,26.0° East,Arabsat BADR-4,-,12073 MHz,Horizental,27500,3/4,
CNN International,English,News,26.0° East,Arabsat BADR-6,-,11785 MHz,Vertical,27500,3/4,
BBC Persian,Persian,News,52.5° East,Yahsat 1A,15,11996 MHz,Vertical,-,5/6,
VoA Persian,Persian,News,52.5° East,Yahsat 1A,203,11996 MHz,Vertical,27500,5/6,
Iran International,Persian,News,52.5° East,Yahsat 1A,-,12073 MHz,Vertical,27500,6/5,
Iran International,Persian,News,52.5° East,Yahsat 1A,-,10887 MHz,Horizental,27500,3/2,
Iran International,Persian,News,52.5° East,Yahsat 1A,-,10845 MHz,Vertical,27500,-,
Iran International,Persian,News,52.5° East,Yahsat 1A,-,12594 MHz,Vertical,27500,-,
Iran International,Persian,News,52.5° East,Eutelsat Hot Bird 13B,81,12322 MHz,Horizental,27500,4/3,
Iran International HD,Persian,News,52.5° East,YahLive,15,11996 MHz,Vertical,27500,5/6,
Radio Farda,Persian,News,52.5° East,Yahsat 1A,-,11996 MHz,Vertical,27500,5/6,
IRIB TV1,Persian,News,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRINN TV6,Persian,News,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
Press TV,English,News,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
BBC Persian,Persian,News,7.0° East,Eutelsat 7A,A1,10721 MHz,Horizental,22000,1/2,
Iran International,Persian,News,7.0° East,Eutelsat E7A,C1,11221 MHz,Horizental,27500,3/4,
Iran International HD,Persian,News,7.0° East,Eutelsat E7B,C5,11304 MHz,Horizental,29700,2/3,
BBC World,English,News,7.0° West,Nilesat 201,-,11766 MHz,Horizental,27500,5/6,
CNN International,English,News,7.0° West,Nilesat 201,-,12226 MHz,Horizental,27500,5/6,
VoA 24,English,News,7.3° West,Eutelsat 7WA,-,12399 MHz,Vertical,27500,5/6,
BBC World,English,News,9.0° East,Eutelsat 9B,-,11785 MHz,Horizental,27500,2/3,
Bloomberg European TV,English,News,9.0° East,Eutelsat 9B,-,11785 MHz,Horizental,27500,2/3,
Kalameh TV,Persian,Political,13.0° East,Eutelsat Hot Bird 13C,-,11317 MHz,Vertical,27500,5/6,
Aryaee TV,Persian,Political,13.0° East,Eutelsat Hot Bird 13E,127,11054 MHz,Horizental,27500,5/6,
Azadi TV,Persian,Political,13.0° East,Eutelsat Hot Bird 13B,-,11471 MHz,Vertical,27500,5/6,
Andisheh TV (ATV),Persian,Political,13.0° East,Eutelsat Hot Bird 13B,-,12322 MHz,Horizental,27500,3/4,
Markazi TV,Persian,Political,13.0° East,Eutelsat Hot Bird 13B,-,10815 MHz,Horizental,27500,3/4,
Simay Azadi Iran National TV HD,Persian,Political,13.0° East,Eutelsat Hot Bird 13B,18,11541 MHz,Vertical,22000,5/6,
Kalameh TV,Persian,Political,52.5° East,Yahsat 1A,-,11958 MHz,Vertical,27500,2/3,
Didgah TV,Persian,Political,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,5/6,
Omid-e-Iran (OITN),Persian,Political,52.5° East,Yahsat 1A,-,12073 MHz,Vertical,27500,-,
PBC Tapesh TV (Persian Broadcasting Company),Persian,Political,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,7/8,
Rang-a-Rang TV,Persian,Political,7.0° East,Eutelsat 7A,A1,10721 MHz,Horizental,22000,3/4,
Rang-a-Rang TV,Persian,Political,7.0° East,Eutelsat 7B,A1,10721 MHz,Horizental,22000,3/4,
Azadi TV,Persian,Political,7.0° East,Eutelsat 7B,-,12721 MHz,Horizental,2200,3/4,
Andisheh TV (ATV),Persian,Political,7.0° East,Eutelsat 7B,-,11221 MHz,Horizental,27500,3/4,
Channel One,Persian,Political,7.0° East,Eutelsat 7B,-,11221 MHz,Horizental,27500,3/4,
Pars TV,Persian,Political,7.0° East,Eutelsat 7A,-,11221 MHz,Horizental,27500,-,
Pars TV,Persian,Political,7.0° East,Eutelsat 7B,-,11221 MHz,Horizental,27500,-,
Mihan TV,Persian,Political,7.0° East,Eutelsat 7A,-,10721 MHz,Horizental,22000,-,
Mihan TV,Persian,Political,7.0° East,Eutelsat 7B,-,10721 MHz,Horizental,22000,-,
Simay Azadi Iran National TV,Persian,Political,7.0° East,Eutelsat 7B,A1,10721 MHz,Horizental,22000,3/4,
Azadi TV,Persian,Political,8.0° West,Nilesat 104B,-,12604 MHz,Vertical,27500,7/8,
IRIB Sahand TV (Azer. Sharqi) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Azerbaijan TV (Azer. Qarbi) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12302 MHz,Horizental,32000,-,
IRIB Sabalan TV (Ardabil) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12265 MHz,Horizental,30000,3/4,
IRIB Eshragh TV (Zanjan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Alborz TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Aflak TV (Lorestan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,-,
IRIB Aftab TV (Markazi) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Baran TV (Guilan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Boushehr TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12302 MHz,Horizental,32000,-,
IRIB Dena TV (Kohkelouye…) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12284 MHz,Horizental,27500,-,
IRIB Esfahan TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12302 MHz,Horizental,32000,-,
IRIB Fars TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12302 MHz,Horizental,32000,-,
IRIB Sabz TV (Golestan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Hamoon TV (Sistan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Ilam TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Jahanbin TV (Char-Mahal) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12302 MHz,Horizental,32000,-,
IRIB Kerman TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Zagros TV (Kermanshah) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Khalij-e Fars TV (Hormozgan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12265 MHz,Horizental,30000,3/4,
IRIB Khoozestan TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,-,
IRIB Khavaran TV (Khor. Jonoobi) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Khorasan Razavi TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Atrak TV (Khor. Shomali) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Kordestan TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Noor TV (Qom) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12265 MHz,Horizental,30000,3/4,
IRIB Qazvin TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Semnan TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Sina TV (Hamedan) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Taban TV (Yazd) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12283 MHz,Vertical,30000,-,
IRIB Tabarestan TV (Mazandaran) HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Abadan TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12283 MHz,Vertical,30000,-,
IRIB Mahabad TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,12284 MHz,Vertical,30000,-,
IRIB Kish TV HD,Persian,Provincial IRIB,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,-,
IRIB Sahand TV (Azer. Sharqi),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11026 MHz,Vertical,2300,3/4,
IRIB Azerbaijan TV (Azer. Qarbi),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10999 MHz,Vertical,1500,-,
IRIB Sabalan TV (Ardabil),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11026 MHz,Vertical,2300,3/4,
IRIB Eshragh TV (Zanjan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10993 MHz,Vertical,1560,3/5,
IRIB Aflak TV (Lorestan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11019 MHz,Vertical,2300,-,
IRIB Aftab TV (Markazi),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11016 MHz,Vertical,3500,3/4,
IRIB Baran TV (Guilan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11012 MHz,Vertical,2300,3/4,
IRIB Boushehr TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11023 MHz,Vertical,3500,-,
IRIB Dena TV (Kohkelouye…),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10997 MHz,Vertical,4800,-,
IRIB Esfahan TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10992 MHz,Vertical,1600,-,
IRIB Fars TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11023 MHz,Vertical,3500,-,
IRIB Sabz TV (Golestan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11006 MHz,Vertical,2300,3/4,
IRIB Hamoon TV (Sistan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11009 MHz,Vertical,3500,3/4,
IRIB Ilam TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11002 MHz,Vertical,3500,3/4,
IRIB Jahanbin TV (Char-Mahal),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10995 MHz,Vertical,1540,-,
IRIB Kerman TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11009 MHz,Vertical,3500,3/4,
IRIB Zagros TV (Kermanshah),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11002 MHz,Vertical,3500,3/4,
IRIB Khalij-e Fars TV (Hormozgan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11009 MHz,Vertical,3500,3/4,
IRIB Khoozestan TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11019 MHz,Vertical,2300,-,
IRIB Khavaran TV (Khor. Jonoobi),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11030 MHz,Vertical,3500,3/4,
IRIB Khorasan Razavi TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11030 MHz,Vertical,3500,3/4,
IRIB Atrak TV (Khor. Shomali),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11030 MHz,Vertical,3500,3/4,
IRIB Kordestan TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11002 MHz,Vertical,3500,3/4,
IRIB Noor TV (Qom),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11016 MHz,Vertical,3500,3/4,
IRIB Qazvin TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11012 MHz,Vertical,2300,3/4,
IRIB Semnan TV,Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10991 MHz,Vertical,1580,3/5,
IRIB Sina TV (Hamedan),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11016 MHz,Vertical,3500,3/4,
IRIB Taban TV (Yazd),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,10988 MHz,Vertical,1600,-,
IRIB Tabarestan TV (Mazandaran),Persian,Provincial IRIB,62.0° East,Intelsat 39,-,11006 MHz,Vertical,2300,3/4,
Nour TV,Persian,Religion,13.0° East,Eutelsat Hot Bird 13C,-,11296 MHz,Horizental,27500,5/6,
Mohabat,Persian,Religion,13.0° East,Eutelsat Hot Bird 13B,-,11200 MHz,Vertical,27500,5/6,
Nejat TV,Persian,Religion,13.0° East,Eutelsat Hot Bird 13B,-,11566 MHz,Horizental,27500,3/4,
Sat V Pars,Persian,Religion,13.0° East,Eutelsat Hot Bird 13B,-,10949 MHz,Vertical,27500,3/4,
IRIB Quran TV8 HD,Persian,Religion,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Quran TV8,Persian,Religion,26.0° East,Arabsat BADR-5,-,10775 MHz,Horizental,29900,3/5,
Salam TV,Persian,Religion,35.9° East,Eutelsat 36B,-,11595 MHz,Horizental,1600,5/6,
IRIB Quran TV8,Persian,Religion,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
Nour TV,Persian,Religion,7.0° West,Nilesat 201,-,10873 MHz,Vertical,27500,5/6,
Salam TV,Persian,Religion,8.0° East,Eutelsat 8WB,-,12687 MHz,Horizental,27500,7/8,
IRIB Iran Kala HD,Persian,Shopping,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
IRIB Iran Kala,Persian,Shopping,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
EUROSPORT 1 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,10911 MHz,Vertical,27500,3/4,
EUROSPORT 1 HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11278 MHz,Vertical,27500,3/4,
EUROSPORT 1,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11240 MHz,Vertical,27500,3/4,
EUROSPORT 2 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13B,-,12284 MHz,Horizental,27500,3/4,
EUROSPORT 2 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11240 MHz,Vertical,27500,3/4,
Eleven Sports 1 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11488 MHz,Horizental,27500,3/4,
Eleven Sports 2 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11488 MHz,Horizental,27500,3/4,
Eleven Sports 3 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11488 MHz,Horizental,27500,3/4,
Eleven Sports 4 Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11278 MHz,Vertical,27500,3/4,
Golf Channel Polska HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,10911 MHz,Vertical,27500,3/4,
Cielo HD,English,Sports,13.0° East,Eutelsat Hot Bird 13B,-,11785 MHz,Horizental,29900,3/4,
Cielo,English,Sports,13.0° East,Eutelsat Hot Bird 13B,-,12034 MHz,Vertical,29900,5/6,
Setanta Sports Ukraine HD,English,Sports,13.0° East,Eutelsat Hot Bird 13B,-,12437 MHz,Horizental,29900,3/5,
Canal + Sport HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11278 MHz,Vertical,27500,3/4,
Canal + Sport 2 HD,English,Sports,13.0° East,Eutelsat Hot Bird 13C,-,11488 MHz,Horizental,27500,3/4,
Polsat Sport HD,English,Sports,13.0° East,Eutelsat Hot Bird 13B,-,12265 MHz,Vertical,27500,3/4,
Wness TV,English,Sports,16.0° East,Eutelsat 16A,-,11595 MHz,Vertical,30000,5/6,
Olympia TV,English,Sports,19.2° East,Astra 1M,-,11817 MHz,Vertical,29700,2/3,
Cote & Sport 1,English,Sports,21.5° East,Eutelsat 21B,-,11000 MHz,Horizental,6115,3/4,
Cote & Sport 2,English,Sports,21.5° East,Eutelsat 21B,-,11000 MHz,Horizental,6115,3/4,
IRIB Varzesh TV HD,Persian,Sports,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
Football 1 HD,English,Sports,4.8° East,Astra 4A,-,12245 MHz,Vertical,30000,2/3,
Football 2 HD,English,Sports,4.8° East,Astra 4A,-,12245 MHz,Vertical,30000,2/3,
Football 3 HD,English,Sports,4.8° East,Astra 4A,-,12245 MHz,Vertical,30000,2/3,
NBA TV,English,Sports,4.8° East,Astra 4A,-,11727 MHz,Horizental,27500,-,
NBA TV,English,Sports,4.8° East,Astra 4A,-,11958 MHz,Horizental,27500,-,
GEM FIT,Persian,Sports,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
GEM FIT,Persian,Sports,52.5° East,Yahsat 1A,-,11881 MHz,Vertical,27500,5/6,
IRIB Varzesh TV,Persian,Sports,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
Toosheh TV,Persian,Tools,52.5° East,Yahsat 1A,-,11766 MHz,Vertical,27500,7/8,
Didar Global TV,Persian,Wellbeing,13.0° East,Eutelsat Hot Bird 13B,-,10723 MHz,Horizental,29900,3/4,
Tasvir Iran,Persian,Wellbeing,13.0° East,Eutelsat Hot Bird 13B,-,11471 MHz,Vertical,27500,5/6,
PHYSIQUE TV,Persian,Wellbeing,13.0° East,Eutelsat Hot Bird 13B,-,11541 MHz,Vertical,22000,3/4,
IRIB Salamat TV HD,Persian,Wellbeing,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
Didar Global TV,Persian,Wellbeing,52.5° East,Yahsat 1A,-,12594 MHz,Vertical,27500,-,
IRIB Salamat TV,Persian,Wellbeing,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB TV3 HD,Persian,Youth,26.0° East,Arabsat BADR-5,-,11881 Mhz,Horizental,27500,5/6,
IRIB TV3,Persian,Youth,26.0° East,Arabsat BADR-5,-,11900 MHz,Vertical,27500,3/4,
IRIB TV3 HD,Persian,Youth,26.0° East,Arabsat BADR-5,-,12265 MHz,Horizental,30000,3/4,
IRIB TV3,Persian,Youth,26.0° East,Arabsat BADR-5,-,12303 MHz,Horizental,32000,3/4,
IRIB Omid TV HD,Persian,Youth,26.0° East,Arabsat BADR-5,-,11881 MHz,Horizental,27500,5/6,
GEM JUNIOR,Persian,Youth,52.5° East,Yahsat 1A,-,12034 MHz,Vertical,27500,5/6,
IRIB TV3,Persian,Youth,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
IRIB Omid TV,Persian,Youth,62.0° East,Intelsat 39,-,11555 MHz,Vertical,30000,3/4,
